120373537;CRAIG DAVID;DON'T LOVE NO MORE ( I'M SORRY ) - EXCEPTION TO THE RULE + 2 REMIXES ' DON'T LOVE NO MORE ';CD Maxi;occasion;M;M;WB RECORDS 5101122942;EU;2005;1;6.80;EUR;https://img.cdandlp.com/2021/03/imgL/120373537.jpg
120373538;HIVES (THE);VENI VIDI VICIOUS;CD;occasion;M;M;BURNING HEART RECORDS BHR 1063 . CLVLX 338;-;2002;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120373538.jpg
120373539;HIVES (THE);YOUR NEW FAVOURITE BAND;CD;occasion;M;M;BURNING HEART RECORDS BHR 157;-;2002;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120373539.jpg
120373540;MIKE BLOOMFIELD . AL KOOPER . STEVE STILLS;SUPER SESSION;CD;occasion;M;M;COLUMBIA COL 468026 2;Austria;2005;1;11.90;EUR;https://img.cdandlp.com/2021/03/imgL/120373540.jpg
120373541;LOU ANN BARTON;READ MY LIPS;33T;occasion;VG++;M;NEW ROSE RECORDS / ROSE 190 . NR 335;France;1989;1;13.00;EUR;https://img.cdandlp.com/2021/03/imgL/120373541.jpg
120373542;BIG CHILL ERA (THE);POCKET SONGS YOU SINGS THE HITS;CD;occasion;M;M;POCKET SONG PS CD+G 1143;USA;1996;1;12.00;EUR;https://img.cdandlp.com/2021/03/imgL/120373542.jpg
120373543;MARVIN GAYE;LIVE . AT THE LONDON PALLADIUM;CD;occasion;M;M;MOTOWN ZD 72213;Germany;1986;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120373543.jpg
120401311;TOURE KUNDA;AMADOU TILO;33T;occasion;EX;EX;CELLULOID CEL 6646;France;1983;1;15.00;EUR;https://img.cdandlp.com/2021/03/imgL/120401311.jpg
120401312;CHARLES AZNAVOUR . PIERRE ROCHE;CHARLES AZNAVOUR JEZEBEL . LE FEUTRE TAUPE . BOULE DE GOMME . EN REVENANT DE QUEBEC;CD;occasion;M;EX;HABANA JPM 200 529;EEC;2005;1;13.80;EUR;https://img.cdandlp.com/2021/03/imgL/120401312.jpg
120401313;DANIEL BALAVOINE . ( DANY DARRAS );SES 7 PREMIERES COMPOSITIONS VIENS VITE . LIRE UN LIVRE . LA CONFITURE . TOUT VA BIEN + 3;CD;occasion;M;M;VOGUE BMG CAMDEN 74321724232;EU;1999;1;11.80;EUR;https://img.cdandlp.com/2021/03/imgL/120401313.jpg
120401314;FRANCOIS BERANGER . ( JEAN PIERRE ALARCEN );L'ALTERNATIVE JEAN PIERRE ALARCEN . CLAUDE ARINI . JEAN LOUP BESSON . GERARD COHEN;33T;occasion;EX;EX;L'ESCARGOT . ESC 328 (Y);France;1975;1;14.90;EUR;https://img.cdandlp.com/2021/03/imgL/120401314.jpg
120401315;KAMINI;J'SUIS BLANC . 3' 18' + CLIP VIDEO : J'SUIS BLANC . 3' 50';CD single;occasion;M;M;RCA PSYCHOSTAR MUSIC 88697100922;U.E.;2007;1;6.20;EUR;https://img.cdandlp.com/2021/03/imgL/120401315.jpg
120401316;EILIJAH;QUESTION DE FEELING . 3' 28' - QUESTION DE FEELING . REMIX . 3' 31';CD single;occasion;M;M;REVEIL PROD POLYDOR 9839183;E.U.;2006;1;6.00;EUR;https://img.cdandlp.com/2021/03/imgL/120401316.jpg
120401317;LUDACRIS . BOBBY VALENTINO . SHAREEFA;DISTURBING THA PEACE PRESENTS : LUDACRIS . BOBBY VALENTINO . SHAREEFA PROMO;CD;occasion;M;EX;DEF JAM RECORDINGS DJSAMPCDP2;EU;2006;1;7.00;EUR;https://img.cdandlp.com/2021/03/imgL/120401317.jpg
120401318;BYRDS (THE);MR. TAMBOURINE MAN;CD;occasion;M;EX;COLUMBIA CK 9172;USA;1989;1;9.00;EUR;https://img.cdandlp.com/2021/03/imgL/120401318.jpg
120401319;CHICAGO;CHICAGO - LIVE 50 YEARS OF GOLDEN GREATS 7 TITRES;CD;occasion;M;M;SLAM MUSIC / SLAM 0063;England;2005;1;7.50;EUR;https://img.cdandlp.com/2021/03/imgL/120401319.jpg
120401320;IRON BUTTERFLY;IN-A-GADDA-DA-VIDA DELUXE EDITION ( Avec SLIPCASE ) + BOOKLET;CD + bonus;occasion;M;M;ATLANTIC RHINO RECORDS  8122 72196 2;Germany;1995;1;12.20;EUR;https://img.cdandlp.com/2021/03/imgL/120401320.jpg
120401321;BREEDERS (THE);MOUNTAIN BATTLES;CD;occasion;M;M;4AD CAD 2803 CD;UK;2008;1;11.00;EUR;https://img.cdandlp.com/2021/03/imgL/120401321.jpg
120401322;COMPILATION . DIVERS . VARIOUS ARTISTS;LES MAITRES DE L'OPERETTE FRANCAISE AIRS CHANTES PAR BERNARD ALVI & LUCIEN HUBERTY;33T;occasion;EX;M;RCA VICTOR 430.125 S . 9-63;France;1963;1;13.20;EUR;https://img.cdandlp.com/2021/03/imgL/120401322.jpg
120419855;NAJOUA BELYZEL;QUAND REVIENT L'ÉTÉ ( RADIO VERSION ) - QUAND REVIENT L'ÉTÉ ( INSTRUMENTAL ) EDITION COLLECTOR;CD single;Neuf;S;S;SONY BMG 297750 0245 1;France;2007;1;8.80;EUR;https://img.cdandlp.com/2021/04/imgL/120419855.jpg
120419856;SALVATORE ADAMO;LE BAL DES GENS BIEN;CD;Neuf;S;S;POLYDOR 531342 5;U.E;2008;1;9.80;EUR;https://img.cdandlp.com/2021/04/imgL/120419856.jpg
120419857;DOUDOU MASTA . DON SILVER . SULEE B WAX;CONTRÔLE ( FEATURING DON SILVER & SULEE B WAX ) . 5' 19' - RECOMMENCE . 3' 27';CD single;occasion;M;M;EASTORY PRODUCTIONS 019 599 2;EU;2002;1;6.50;EUR;https://img.cdandlp.com/2021/04/imgL/120419857.jpg
120419858;STOMY BUGSY;BLACK PIMP FADA ( RADIO EDIT ) . 3' 18' - ATTRAPEZ-LE . 3' 31' - BLACK PIMP FADA . 5' 45';CD single;occasion;M;M;COLUMBIA COL 669913 1;Autriche;2000;1;5.80;EUR;https://img.cdandlp.com/2021/04/imgL/120419858.jpg
120419859;BLACK EYED PEAS (THE) . [ B.E.P. ];MY HUMPS ( ALBUM VERSION ) . 4' 10' - MY HUMPS ( LIL JON REMIX ) . 3' 44';CD single;occasion;M;EX;INTERSCOPE RECORDS 0602498872604;EU;2005;1;5.50;EUR;https://img.cdandlp.com/2021/04/imgL/120419859.jpg
120419860;MERCENARY;THE HOURS THAT REMAIN EDITION LIMITEE;DVD + CD;occasion;M;EX;CENTURY MEDIA 77596 0;Germany;2006;1;14.80;EUR;https://img.cdandlp.com/2021/04/imgL/120419860.jpg
120419861;TED LENNON;TED LENNON WATER & BONES;CD;occasion;M;M;JUST ANOTHER LENNON PRODUCTION 001;-;2004;1;12.00;EUR;https://img.cdandlp.com/2021/04/imgL/120419861.jpg
120419862;FRANZ FERDINAND;YOU COULD HAVE IT SO MUCH BETTER;CD;occasion;M;M;DOMINO WIGCD161;EU;2005;1;8.90;EUR;https://img.cdandlp.com/2021/04/imgL/120419862.jpg
